
31 May 2012 10:20:34 PM

FEYNMAN_KAC_3D:
  C version.

  Program parameters:

  The calculation takes place inside a 3D ellipsoid.
  A rectangular grid of points will be defined.
  The solution will be estimated for those grid points
  that lie inside the ellipsoid.

  Each solution will be estimated by computing 10000 trajectories
  from the point to the boundary.

    (X/A)^2 + (Y/B)^2 + (Z/C)^2 = 1

  The ellipsoid parameters A, B, C are set to:

    A = 3.000000
    B = 2.000000
    C = 1.000000
  Stepsize H = 0.0010

  X coordinate marked by 31 points
  Y coordinate marked by 21 points
  Z coordinate marked by 11 points

     X        Y        Z       W approx     W exact    Error    Ave Steps
  -3.0000  -1.0000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -1.0000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.8000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.8000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.8000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.8000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.8000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.8000   0.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.8000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.8000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.8000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.8000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.8000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.6000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.6000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.6000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.6000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.6000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.6000   0.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.6000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.6000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.6000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.6000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.6000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.4000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.4000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.4000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.4000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.4000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.4000   0.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.4000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.4000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.4000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.4000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.4000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.2000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.2000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.2000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.2000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.2000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.2000   0.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.2000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.2000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.2000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.2000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000  -0.2000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.0000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.0000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.0000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.0000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.0000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.0000   0.0000  9.9127e-01  1.0000e+00  8.7341e-03         6
  -3.0000   0.0000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.0000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.0000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.0000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.0000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.2000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.2000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.2000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.2000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.2000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.2000   0.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.2000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.2000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.2000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.2000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.2000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.4000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.4000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.4000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.4000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.4000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.4000   0.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.4000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.4000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.4000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.4000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.4000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.6000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.6000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.6000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.6000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.6000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.6000   0.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.6000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.6000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.6000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.6000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.6000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.8000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.8000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.8000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.8000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.8000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.8000   0.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.8000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.8000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.8000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.8000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   0.8000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.0000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.0000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.0000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.0000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.0000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.0000   0.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.0000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.0000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.0000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.0000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.0000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.2000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.2000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.2000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.2000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.2000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.2000   0.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.2000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.2000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.2000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.2000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.2000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.4000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.4000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.4000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.4000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.4000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.4000   0.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.4000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.4000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.4000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.4000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.4000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.6000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.6000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.6000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.6000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.6000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.6000   0.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.6000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.6000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.6000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.6000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.6000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.8000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.8000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.8000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.8000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.8000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.8000   0.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.8000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.8000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.8000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.8000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   1.8000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   2.0000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   2.0000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   2.0000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   2.0000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   2.0000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   2.0000   0.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   2.0000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   2.0000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   2.0000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   2.0000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -3.0000   2.0000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -2.0000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -2.0000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -2.0000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -2.0000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -2.0000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -2.0000   0.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -2.0000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -2.0000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -2.0000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -2.0000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -2.0000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.8000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.8000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.8000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.8000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.8000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.8000   0.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.8000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.8000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.8000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.8000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.8000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.6000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.6000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.6000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.6000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.6000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.6000   0.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.6000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.6000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.6000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.6000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.6000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.4000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.4000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.4000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.4000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.4000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.4000   0.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.4000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.4000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.4000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.4000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.4000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.2000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.2000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.2000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.2000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.2000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.2000   0.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.2000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.2000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.2000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.2000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.2000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.0000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.0000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.0000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.0000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.0000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.0000   0.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.0000   0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.0000   0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.0000   0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.0000   0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -1.0000   1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -0.8000  -1.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -0.8000  -0.8000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -0.8000  -0.6000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -0.8000  -0.4000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -0.8000  -0.2000  1.0000e+00  1.0000e+00  0.0000e+00         0
  -2.8000  -0.8000   0.0000  1.0000e+00  1.0000e+00  0.0000e+00         0
